class_1,class_2,class_3,bin_centers
0,0,0,1.193939513951125
0,0,0,1.6570436119965721
0,0,0,2.2997760774094353
0,0,0,3.191810986707857
0,0,0,4.429847529479821
0,0,0,6.148092482969638
0,0,0,8.53280861871703
0,0,0,11.842506131020933
0,0,0,16.43596589704777
0,0,0,22.81113237182919
0,0,0,31.65909222156384
0,0,0,43.938990136731704
0,0,0,60.982002917973745
0,0,0,84.63564292932958
0,0,0,117.46403383463982
204,21,52,163.02586909189694
0,0,0,226.2601847181815
83,3,13,314.0217652196532
39,3,13,435.8242222532006
30,4,7,604.8712979170263
19,7,8,839.488188959055
17,2,2,1165.1080516279135
257,2,103,1617.029030094432
93,0,32,2244.240678377179
47,0,59,3114.7345710848067
47,0,23,4322.874788690712
35,1,24,5999.627259471206
57,0,8,8326.756848650739
31,1,9,11556.531200683796
26,0,0,16039.067288727038
29,0,0,22260.28511713725
18,0,2,30894.58286919938
27,1,0,42877.94363994997
23,0,1,59509.39873746125
9,0,0,82591.84647079505
16,0,0,114627.49159253886
8,0,0,159089.09160232625
10,0,0,220796.41380288836
0,0,0,306438.71215305553
9,0,0,425299.8619346003
12,0,0,590264.7589487545
4,0,0,819216.0798547537
1,0,0,1136972.8165507067
0,0,0,1577980.7273856774
0,0,0,2190046.3579725204
0,0,0,3039519.4103637626
0,0,0,4218485.244545678
0,0,0,5854747.2004200425
0,0,0,8125680.853132392
0,1,0,11277462.043489315
